Pilotes,Nationalite,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,-,Moyenne,Meilleur,Pire
Hamilton,Britannique,0,1,1,1,1,2,1,1,4,4,5,4,5,1,2,0,0,0,0,0,0,0,"2,4",1,5,15
Bottas,Finlandais,0,2,2,5,3,8,5,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,8",2,17,9
Verstappen M.,Neerlandais,0,3,3,4,6,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,5",3,12,7
Perez,Mexicain,0,4,10,8,7,7,9,10,11,10,16,0,0,0,0,0,0,0,0,0,0,0,"9,2",4,16,11
Ricciardo,Australien,0,5,9,6,5,3,8,3,14,18,26,0,0,0,0,0,0,0,0,0,0,0,"9,7",3,26,11
Sainz Jr,Espagnol,0,6,6,10,9,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,7",6,15,7
Albon,Thaïlandais,-,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,5",7,8,2
Leclerc,Monegasque,0,8,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,3",4,13,4
